Context,Response
go thing feeling barely sleep think worthless not try contemplate suicide want fix issue change feeling worthless,truly sorry hear feel way experience feel worthless unable rest properly sound incredibly challenging understandable want find change important know feeling deeply distress reflection true worth value person desire address feeling show tremendous strength resilience mention wish fix issue wonderful starting point journey change begin small step lot selfcompassion beneficial explore feeling worthlessness come particular thought situation trigger feeling understand root thought illuminate way gently challenge reframe remember okay seek support journey relationship friend family professional offer supportive space share feeling hear different perspective simply know comfort reflect feeling think small kind step start shift mindset
feel month start have trouble sleep panic attack trigger know,sorry hear go difficult time sound like carry lot weight shoulder especially add challenge panic attack trouble sleep feel prolong period incredibly drain especially panic attack come understandable know trigger attack add feeling overwhelmed control want assure experience valid okay feel way tell feeling affect daily life cope share go help well understand root feeling
suffer adult adhd anxiety disorder depression difficult find doctor area primary physician will not help unemployed overwhelmed suggest,truly sorry hear difficulty face sound like deal lot right try manage multiple challenge feel overwhelming especially feel like get support need primary physician live adhd anxiety depression incredibly challenge particularly navigate unemployment search supportive healthcare provider understandable feel stuck unsure turn time like find way connect resource available important opportunity explore community resource mental health organization offer support counseling service possibly reduce cost slide scale community center local mental health organization pathway treatment immediately obvious wonder cope feeling daytoday strategy find helpful manage overwhelm stress experience small selfcare practice add layer support amidst challenging circumstance remember seek help sign strength okay reach different avenue navigate path
struggle depression pretty intense mood swing month experience high feel amazing energetic low lack focus energy generally dark outlook life live balanced life,sound like navigate challenging experience high low describe truly appreciate openness share tough manage impact mood swing daytoday life overall outlook energy level understandable seek balanced experience create sense balance especially deal mood swing begin aware pattern awareness help anticipate gently prepare shift mood feel energetic high challenging low useful explore contribute fluctuation instance specific situation thought timing month trigger mood reflect aspect step recognize pattern offer insight incorporate small consistent practice cultivate stability selfcare supportive generally help soothe ground low routine sustain positivity high engage activity foster mindfulness selfcompassion connection provide nurture buffer feel share strategy activity currently help explore new one serve nurture sense balance remember truly okay time find work well goal perfection compassionate journey understanding selfsupport
selfharm stop awhile sad depress automatically want selfharm,truly sorry hear experience feeling urge sound like deal lot pain feel overwhelming moment hit especially trigger sad depress important recognize want selfharm way cope intense emotion situation evident great share voice feeling important step understanding manage feel time try cope instance able find alternative way manage difficult emotion understand moment help explore new strategy supportive remember experience take step share feeling incredibly courageous
diagnose general anxiety depression family doctor write prescription emotional support dog paper work give apartment manager say not esd disabled suggest,sound like go difficult time try navigate live arrangement manage anxiety depression situation apartment manager frustrating especially involve important supportive emotional support dog have kind support mean lot deal mental health challenge understandable feel upset tell not dog provide specific advice legal matter helpful think open dialog apartment manager share positive role support dog play mental health way forward situation feel discuss matter explore channel find support advocacy community beneficial like talk situation impact explore have have emotional support dog influence wellbeing listen
entirely true enjoy sad find way feel way listen sad music read tragic story twisted way like bad make feel focus negative aspect life not legitimate negative,thank share sound like experience complex relationship emotion interesting describe engage activity evoke sadness suggest feeling feel familiar comfort way understandable focus negative aspect life feel like habit reflex aspect necessarily significant people find draw emotion experience immediately pleasant hold meaning significance give think seek feel immerse sad emotion helpful explore experience represent underlie try express understand
not know want life anymore not figure keep distracted unfocused not thing perspective stuck disappointed lack accomplishment,sound like go difficult time feel lose uncertain direction life understandable feel frustrated disappoint especially expectation reality align important acknowledge feeling overwhelming okay figure right take step reflect truly matter help bring clarity recall time feel focused fulfil aspect life feel meaningful exploration help understanding sense stick come begin navigate remember patient kind process vital
suicidal not life wish accident occur feel like not wish not bear not life chore not know normal sign,thank share feeling sound like experience significant level distress want acknowledge challenging carry heavy emotion feel like life chore wish accident indicate overwhelmed struggle aspect life insurmountable important validate feeling difficult uncommon time stress feels burden okay express thought let explore bit specific aspect life feel daunting right identify small specific area feeling stem helpful starting point listen support share comfortable
not smile fake not feel happiness not love person girlfriend hate ugly not loss love close family,sorry hear experience difficult feeling sound like go deeply challenging time understandable feel overwhelmed right lose love leave significant impact affect ability connect uncommon feel lose numb moment happiness love feel reach know feeling disconnected family add layer isolation make hard find comfort peace want acknowledge courage express feel share vulnerable part step healing helpful explore loss mean interconnect view relationship think small step process emotion open trust seek space express freely vital journey remember healing take time okay pace feel right
